id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
S;SUL;2023-01-01 13:00:00;1377.89001464;72.83999633;940.49499511;3.00000000;7373.33300000;-4979.10800000
NE;NORDESTE;2023-01-01 14:00:00;3149.29199218;668.90997314;8060.68994140;2984.52294921;8209.00399999;6654.41100000
N;NORTE;2023-01-01 14:00:00;3181.28100585;881.20898437;358.12799072;2.00000000;5088.09599999;-665.47799999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 14:00:00;29631.22200000;5569.41700000;9470.11000000;4442.85200000;49113.60000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 14:00:00;21743.13867187;3945.28002929;6.00000000;1454.32897949;27981.53699999;-832.79000000
S;SUL;2023-01-01 14:00:00;1557.51098632;74.01799774;1045.29199218;2.00000000;7834.96400000;-5156.14300000
NE;NORDESTE;2023-01-01 15:00:00;3341.29101562;670.61602783;8250.60937500;2809.56494140;8752.26399999;6319.81700000
N;NORTE;2023-01-01 15:00:00;4034.57592773;883.67700195;347.05499267;2.00000000;5228.01300000;39.29500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 15:00:00;31880.55400000;5571.61800000;9807.82200000;4171.03300000;51431.03000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 15:00:00;22796.08007812;3938.84204101;6.50000000;1358.46801757;28963.12800000;-863.23800000
S;SUL;2023-01-01 15:00:00;1708.60705566;78.48300170;1203.65795898;1.00000000;8487.62199999;-5495.87400000
NE;NORDESTE;2023-01-01 16:00:00;3806.48999023;664.64599609;7929.50390625;2166.02709960;9266.69100000;5299.97599999
N;NORTE;2023-01-01 16:00:00;5811.54101562;880.17602539;336.04598999;1.00000000;5347.97500000;1680.78800000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 16:00:00;36348.91200000;5568.29200000;9628.22900000;3297.13200000;54842.57000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 16:00:00;24796.49023437;3946.37988281;7.00000000;1129.10498046;30836.36500000;-957.38900000
S;SUL;2023-01-01 16:00:00;1934.39001464;77.08999633;1355.67895507;1.00000000;9391.53400000;-6023.37500000
NE;NORDESTE;2023-01-01 17:00:00;4331.09912109;656.73797607;7635.70019531;662.99798583;9966.22899999;3320.30600000
N;NORTE;2023-01-01 17:00:00;8132.81689453;882.51098632;247.84599304;0E-8;5540.66699999;3722.50700000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 17:00:00;43048.60900000;5558.59500000;9303.00300000;1260.46300000;59170.67000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 17:00:00;27861.57031250;3942.59106445;7.00000000;596.46502685;33219.68600000;-812.05900000
S;SUL;2023-01-01 17:00:00;2723.12207031;76.75499725;1412.45703125;1.00000000;10444.08800000;-6230.75400000
NE;NORDESTE;2023-01-01 18:00:00;5130.07177734;667.02899169;7952.67382812;21.13800048;11356.03799999;2414.87500000
